id:ID	:LABEL	comp	condition
decl;::::buffer;;	cVariable	axtls-code/crypto/	
decl;::::digest;;	cVariable	axtls-code/crypto/	
decl;::::h;;	cVariable	axtls-code/crypto/	
decl;::::w;;	cVariable	axtls-code/crypto/	
decl;::Intermediate_Hash;;	cVariable	axtls-code/crypto/	
decl;::Length_High;;	cVariable	axtls-code/crypto/	
decl;::Length_Low;;	cVariable	axtls-code/crypto/	
decl;::Message_Block;;	cVariable	axtls-code/crypto/	
decl;::Message_Block_Index;;	cVariable	axtls-code/crypto/	
decl;::N0_dash;;	cVariable	axtls-code/crypto/	
decl;::active_count;;	cVariable	axtls-code/crypto/	
decl;::active_list;;	cVariable	axtls-code/crypto/	
decl;::bi_RR_mod_m;;	cVariable	axtls-code/crypto/	
decl;::bi_R_mod_m;;	cVariable	axtls-code/crypto/	
decl;::bi_ctx;;	cVariable	axtls-code/crypto/	
decl;::bi_mod;;	cVariable	axtls-code/crypto/	
decl;::bi_mu;;	cVariable	axtls-code/crypto/	
decl;::bi_normalised_mod;;	cVariable	axtls-code/crypto/	
decl;::bi_radix;;	cVariable	axtls-code/crypto/	
decl;::bm_proc_index;;	cVariable	axtls-code/ssl/	
decl;::buf;;	cVariable	axtls-code/ssl/	
decl;::buffer;;	cVariable	axtls-code/crypto/	
decl;::cert;;	cVariable	axtls-code/ssl/	
decl;::cipher;;	cVariable	axtls-code/ssl/	
decl;::client_random;;	cVariable	axtls-code/ssl/	
decl;::conn_time;;	cVariable	axtls-code/ssl/	
decl;::count;;	cVariable	axtls-code/crypto/	
decl;::d;;	cVariable	axtls-code/crypto/	
decl;::dP;;	cVariable	axtls-code/crypto/	
decl;::dQ;;	cVariable	axtls-code/crypto/	
decl;::decrypt;;	cVariable	axtls-code/ssl/	
decl;::digest_size;;	cVariable	axtls-code/ssl/	
decl;::do_gnutls;;	cVariable	axtls-code/ssl/	
decl;::do_reneg;;	cVariable	axtls-code/ssl/	
decl;::dummy;;	cVariable	axtls-code/ssl/	
decl;::e;;	cVariable	axtls-code/crypto/	
decl;::encrypt;;	cVariable	axtls-code/ssl/	
decl;::final_finish_mac;;	cVariable	axtls-code/ssl/	
decl;::free_count;;	cVariable	axtls-code/crypto/	
decl;::free_list;;	cVariable	axtls-code/crypto/	
decl;::g;;	cVariable	axtls-code/crypto/	
decl;::h_dig;;	cVariable	axtls-code/crypto/	
decl;::hash_alg;;	cVariable	axtls-code/ssl/	
decl;::hmac;;	cVariable	axtls-code/ssl/	
decl;::host_name;;	cVariable	axtls-code/ssl/	
decl;::iv_size;;	cVariable	axtls-code/ssl/	
decl;::key_block;;	cVariable	axtls-code/ssl/	
decl;::key_block_generated;;	cVariable	axtls-code/ssl/	
decl;::key_block_size;;	cVariable	axtls-code/ssl/	
decl;::key_size;;	cVariable	axtls-code/ssl/	
decl;::m;;	cVariable	axtls-code/crypto/	
decl;::master_secret;;	cVariable	axtls-code/ssl/	
decl;::max_fragment_size;;	cVariable	axtls-code/ssl/	
decl;::md5_ctx;;	cVariable	axtls-code/ssl/	
decl;::mod_offset;;	cVariable	axtls-code/crypto/	
decl;::num_octets;;	cVariable	axtls-code/crypto/	
decl;::openssl_option;;	cVariable	axtls-code/ssl/	
decl;::p;;	cVariable	axtls-code/crypto/	
decl;::padding_size;;	cVariable	axtls-code/ssl/	
decl;::port;;	cVariable	axtls-code/ssl/	
decl;::q;;	cVariable	axtls-code/crypto/	
decl;::qInv;;	cVariable	axtls-code/crypto/	
decl;::server_random;;	cVariable	axtls-code/ssl/	
decl;::session_id;;	cVariable	axtls-code/ssl/	
decl;::sha1_ctx;;	cVariable	axtls-code/ssl/	
decl;::sha256_ctx;;	cVariable	axtls-code/ssl/	
decl;::size;;	cVariable	axtls-code/crypto/	
decl;::ssl_clnt_ctx;;	cVariable	axtls-code/ssl/	
decl;::ssl_func_type;;	cVariable	axtls-code/ssl/	
decl;::start_server;;	cVariable	axtls-code/ssl/	
decl;::state;;	cVariable	axtls-code/crypto/	
decl;::stop_server;;	cVariable	axtls-code/ssl/	
decl;::testname;;	cVariable	axtls-code/ssl/	
decl;::thread_id;;	cVariable	axtls-code/ssl/	
decl;::total;;	cVariable	axtls-code/crypto/	
decl;::totalSize;;	cVariable	axtls-code/crypto/	
decl;::use_classical;;	cVariable	axtls-code/crypto/	
decl;::w_buf;;	cVariable	axtls-code/crypto/	
decl;::window;;	cVariable	axtls-code/crypto/	
decl;::x;;	cVariable	axtls-code/crypto/	
decl;::y;;	cVariable	axtls-code/crypto/	
decl;;;	cEnum	axtls-code/crypto/	
decl;AES_BLOCKSIZE;;	cVariable	axtls-code/crypto/	
decl;AES_IV_SIZE;;	cVariable	axtls-code/crypto/	
decl;AES_MAXROUNDS;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::ctx;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::data;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::i;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::in;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::iv;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::ks;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::length;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::msg;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::msg_32;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::out;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::out_32;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::tin;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::tout;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::xor;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_decrypt(AES_CTX *,const uint8_t *,uint8_t *,int,);;	cFunction	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::ctx;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::i;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::iv;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::length;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::msg;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::msg_32;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::out;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::out_32;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::tin;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,)::tout;;	cVariable	axtls-code/crypto/	
decl;AES_cbc_encrypt(AES_CTX *,const uint8_t *,uint8_t *,int,);;	cFunction	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,)::ctx;;	cVariable	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,)::i;;	cVariable	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,)::k;;	cVariable	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,)::t1;;	cVariable	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,)::t2;;	cVariable	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,)::t3;;	cVariable	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,)::t4;;	cVariable	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,)::w;;	cVariable	axtls-code/crypto/	
decl;AES_convert_key(AES_CTX *,);;	cFunction	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::a0;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::a1;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::a2;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::a3;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::ctx;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::curr_rnd;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::data;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::k;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::rounds;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::row;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::tmp;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::xt0;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::xt1;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::xt2;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::xt3;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::xt4;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::xt5;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::xt6;;	cVariable	axtls-code/crypto/	
decl;AES_decrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c;;	cFunction	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::a0;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::a1;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::a2;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::a3;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::ctx;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::curr_rnd;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::data;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::k;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::old_a0;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::rounds;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::row;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::tmp1;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c::tmp;;	cVariable	axtls-code/crypto/	
decl;AES_encrypt(const AES_CTX *,uint32_t *,);static;axtls-code/crypto/aes.c;;	cFunction	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::W;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::ctx;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::i;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::ii;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::ip;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::iv;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::key;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::mode;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::tmp2;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::tmp;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,)::words;;	cVariable	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,);;	cFunction	axtls-code/crypto/	
decl;AES_set_key(AES_CTX *,const uint8_t *,const uint8_t *,AES_MODE,);;__ret!;;	cReturn	axtls-code/crypto/	
decl;AES_test(BI_CTX *,);static;axtls-code/ssl/test/ssltest.c::aes_key;;	cVariable	axtls-code/ssl/	
decl;AES_test(BI_CTX *,);static;axtls-code/ssl/test/ssltest.c::bi_ctx;;	cVariable	axtls-code/ssl/	
decl;AES_test(BI_CTX *,);static;axtls-code/ssl/test/ssltest.c::ct;;	cVariable	axtls-code/ssl/	
decl;AES_test(BI_CTX *,);static;axtls-code/ssl/test/ssltest.c::ct_bi;;	cVariable	axtls-code/ssl/	
decl;AES_test(BI_CTX *,);static;axtls-code/ssl/test/ssltest.c::dec_data;;	cVariable	axtls-code/ssl/	
decl;AES_test(BI_CTX *,);static;axtls-code/ssl/test/ssltest.c::enc_data;;	cVariable	axtls-code/ssl/	
