id:ID	:LABEL	comp	condition
decl;::IV;;	cVariable	bdb/crypto/	
decl;::Nr;;	cVariable	bdb/crypto/	
decl;::addr;;	cVariable	bdb/dbinc/	
decl;::align;;	cVariable	bdb/os/	
decl;::array;;	cVariable	bdb/dbinc/	
decl;::blob_file_id;;	cVariable	bdb/dbinc/	
decl;::buf;;	cVariable	bdb/rep/	
decl;::buffer;;	cVariable	bdb/dbinc/	
decl;::bytes;;	cVariable	bdb/dbinc/	
decl;::child;;	cVariable	bdb/dbinc/	
decl;::config;;	cVariable	bdb/dbinc/	
decl;::count;;	cVariable	bdb/dbinc/	
decl;::ctlflags;;	cVariable	bdb/dbinc/	
decl;::data;;	cVariable	bdb/dbinc/	
decl;::data_dbt;;	cVariable	bdb/dbinc/	
decl;::data_gen;;	cVariable	bdb/dbinc/	
decl;::direction;;	cVariable	bdb/crypto/	
decl;::dptr;;	cVariable	bdb/db.h/	
decl;::dsize;;	cVariable	bdb/db.h/	
decl;::dummy;;	cVariable	bdb/dbinc/	
decl;::egen;;	cVariable	bdb/dbinc/	
decl;::eid;;	cVariable	bdb/dbinc/	
decl;::ek;;	cVariable	bdb/crypto/	
decl;::fillptr;;	cVariable	bdb/rep/	
decl;::flags;;	cVariable	bdb/dbinc/	
decl;::flagsp;;	cVariable	bdb/dbinc/	
decl;::gbytes;;	cVariable	bdb/dbinc/	
decl;::host;;	cVariable	bdb/dbinc/	
decl;::id;;	cVariable	bdb/lock/	
decl;::in_abort;;	cVariable	bdb/lock/	
decl;::keyLen;;	cVariable	bdb/crypto/	
decl;::keyMaterial;;	cVariable	bdb/crypto/	
decl;::last_lock;;	cVariable	bdb/lock/	
decl;::last_locker_id;;	cVariable	bdb/lock/	
decl;::last_ndx;;	cVariable	bdb/lock/	
decl;::last_obj;;	cVariable	bdb/lock/	
decl;::len;;	cVariable	bdb/dbinc/	
decl;::length;;	cVariable	bdb/dbinc/	
decl;::listener_cand;;	cVariable	bdb/dbinc/	
decl;::lsn;;	cVariable	bdb/dbinc/	
decl;::mode;;	cVariable	bdb/crypto/	
decl;::mutex;;	cVariable	bdb/mutex/	
