id:ID	:LABEL	comp	condition
decl;::::cdf_entries_on_this_disk;;	cVariable	busybox/archival/	
decl;::::cdf_entries_total;;	cVariable	busybox/archival/	
decl;::::cdf_flags;;	cVariable	busybox/archival/	
decl;::::cdf_offset;;	cVariable	busybox/archival/	
decl;::::cdf_size;;	cVariable	busybox/archival/	
decl;::::cmpsize;;	cVariable	busybox/archival/	
decl;::::crc32;;	cVariable	busybox/archival/	
decl;::::disk_number_start;;	cVariable	busybox/archival/	
decl;::::disk_with_cdf_no;;	cVariable	busybox/archival/	
decl;::::external_attributes;;	cVariable	busybox/archival/	
decl;::::extra_len;;	cVariable	busybox/archival/	
decl;::::file_comment_length;;	cVariable	busybox/archival/	
decl;::::filename_len;;	cVariable	busybox/archival/	
decl;::::internal_attributes;;	cVariable	busybox/archival/	
decl;::::method;;	cVariable	busybox/archival/	
decl;::::moddate;;	cVariable	busybox/archival/	
decl;::::modtime;;	cVariable	busybox/archival/	
decl;::::relative_offset_of_local_header;;	cVariable	busybox/archival/	
decl;::::this_disk_no;;	cVariable	busybox/archival/	
decl;::::ucmpsize;;	cVariable	busybox/archival/	
decl;::::version;;	cVariable	busybox/archival/	
decl;::::version_made_by;;	cVariable	busybox/archival/	
decl;::::version_needed;;	cVariable	busybox/archival/	
decl;::::zip_flags;;	cVariable	busybox/archival/	
decl;::BZ2_hbMakeCodeLengths__heap;;	cVariable	busybox/archival/	
decl;::BZ2_hbMakeCodeLengths__parent;;	cVariable	busybox/archival/	
decl;::BZ2_hbMakeCodeLengths__weight;;	cVariable	busybox/archival/	
decl;::N;;	cVariable	busybox/networking/	
decl;::SB;;	cVariable	busybox/util-linux/	
decl;::Super;;	cVariable	busybox/util-linux/	
decl;::a2;;	cVariable	busybox/util-linux/	
decl;::a3;;	cVariable	busybox/util-linux/	
decl;::a4;;	cVariable	busybox/util-linux/	
decl;::a;;	cVariable	busybox/findutils/	
decl;::alloc;;	cVariable	busybox/networking/	
decl;::arr1;;	cVariable	busybox/archival/	
decl;::arr2;;	cVariable	busybox/archival/	
decl;::avail_in;;	cVariable	busybox/archival/	
decl;::avail_out;;	cVariable	busybox/archival/	
decl;::b1;;	cVariable	busybox/util-linux/	
decl;::b2;;	cVariable	busybox/util-linux/	
decl;::b3;;	cVariable	busybox/util-linux/	
decl;::backup_lba;;	cVariable	busybox/util-linux/	
decl;::bitlen;;	cVariable	busybox/networking/	
decl;::block;;	cVariable	busybox/archival/	
decl;::blockCRC;;	cVariable	busybox/archival/	
decl;::blockNo;;	cVariable	busybox/archival/	
decl;::blockSize100k;;	cVariable	busybox/archival/	
decl;::boot_file;;	cVariable	busybox/util-linux/	
decl;::boot_part;;	cVariable	busybox/util-linux/	
decl;::bound;;	cVariable	busybox/archival/	
decl;::bp;;	cVariable	busybox/archival/	
decl;::bsBuff;;	cVariable	busybox/archival/	
decl;::bsLive;;	cVariable	busybox/archival/	
decl;::buffer_end;;	cVariable	busybox/archival/	
decl;::bytelen;;	cVariable	busybox/networking/	
decl;::c;;	cVariable	busybox/util-linux/	
decl;::check1816;;	cVariable	busybox/util-linux/	
decl;::code;;	cVariable	busybox/archival/	
decl;::combinedCRC;;	cVariable	busybox/archival/	
decl;::compiled_pattern;;	cVariable	busybox/findutils/	
decl;::context;;	cVariable	busybox/findutils/	
decl;::count;;	cVariable	busybox/archival/	
decl;::counter;;	cVariable	busybox/libbb/	
decl;::crc32table;;	cVariable	busybox/archival/	
decl;::csum;;	cVariable	busybox/util-linux/	
decl;::curr;;	cVariable	busybox/procps/	
decl;::current_lba;;	cVariable	busybox/util-linux/	
decl;::d;;	cVariable	busybox/util-linux/	
decl;::dP;;	cVariable	busybox/networking/	
decl;::dQ;;	cVariable	busybox/networking/	
decl;::d_dispersion;;	cVariable	busybox/networking/	
decl;::d_offset;;	cVariable	busybox/networking/	
decl;::d_recv_time;;	cVariable	busybox/networking/	
decl;::data;;	cVariable	busybox/networking/	
decl;::datapoint_idx;;	cVariable	busybox/networking/	
decl;::default_fd;;	cVariable	busybox/include/	
decl;::descrip;;	cVariable	busybox/include/	
decl;::devparam;;	cVariable	busybox/util-linux/	
decl;::dict_size;;	cVariable	busybox/archival/	
decl;::directory;;	cVariable	busybox/util-linux/	
decl;::disk_guid;;	cVariable	busybox/util-linux/	
decl;::div;;	cVariable	busybox/procps/	
decl;::dns_errors;;	cVariable	busybox/networking/	
decl;::dp;;	cVariable	busybox/networking/	
decl;::dst_size;;	cVariable	busybox/archival/	
decl;::e;;	cVariable	busybox/networking/	
decl;::edge;;	cVariable	busybox/networking/	
decl;::elapsed_ms;;	cVariable	busybox/miscutils/	
decl;::exec_argc;;	cVariable	busybox/findutils/	
decl;::exec_argv;;	cVariable	busybox/findutils/	
decl;::f::buf;;	cVariable	busybox/procps/	
decl;::f::ps;;	cVariable	busybox/procps/	
decl;::f::size;;	cVariable	busybox/procps/	
decl;::f;;	cVariable	busybox/procps/	
decl;::family;;	cVariable	busybox/networking/	
decl;::fd;;	cVariable	busybox/archival/	
decl;::fhandle3_len;;	cVariable	busybox/util-linux/	
decl;::fhandle3_val;;	cVariable	busybox/util-linux/	
decl;::file_len;;	cVariable	busybox/findutils/	
decl;::filelist;;	cVariable	busybox/findutils/	
decl;::filelist_idx;;	cVariable	busybox/findutils/	
decl;::fillbytes1;;	cVariable	busybox/util-linux/	
decl;::fillbytes2;;	cVariable	busybox/util-linux/	
decl;::fillbytes;;	cVariable	busybox/util-linux/	
decl;::filter_datapoint;;	cVariable	busybox/networking/	
decl;::filter_dispersion;;	cVariable	busybox/networking/	
decl;::filter_jitter;;	cVariable	busybox/networking/	
decl;::filter_offset;;	cVariable	busybox/networking/	
decl;::first;;	cVariable	busybox/util-linux/	
decl;::first_part_lba;;	cVariable	busybox/util-linux/	
decl;::first_usable_lba;;	cVariable	busybox/util-linux/	
decl;::flags;;	cVariable	busybox/util-linux/	
decl;::fmt;;	cVariable	busybox/archival/	
decl;::fractionl;;	cVariable	busybox/networking/	
decl;::fractions;;	cVariable	busybox/networking/	
decl;::ftab;;	cVariable	busybox/archival/	
decl;::func;;	cVariable	busybox/networking/	
decl;::gid;;	cVariable	busybox/findutils/	
decl;::hdr_crc32;;	cVariable	busybox/util-linux/	
decl;::hdr_size;;	cVariable	busybox/util-linux/	
decl;::header;;	cVariable	busybox/procps/	
decl;::in;;	cVariable	busybox/archival/	
decl;::inUse;;	cVariable	busybox/archival/	
decl;::in_end;;	cVariable	busybox/archival/	
decl;::incongruously;;	cVariable	busybox/libbb/	
decl;::info;;	cVariable	busybox/networking/	
decl;::init;;	cVariable	busybox/archival/	
decl;::inode_num;;	cVariable	busybox/findutils/	
decl;::installer;;	cVariable	busybox/util-linux/	
decl;::int_partl;;	cVariable	busybox/networking/	
decl;::int_parts;;	cVariable	busybox/networking/	
decl;::ip;;	cVariable	busybox/archival/	
decl;::itv;;	cVariable	busybox/procps/	
decl;::last;;	cVariable	busybox/util-linux/	
decl;::last_dns_resolve;;	cVariable	busybox/sysklogd/	
decl;::last_usable_lba;;	cVariable	busybox/util-linux/	
decl;::lastpkt_delay;;	cVariable	busybox/networking/	
decl;::lastpkt_recv_time;;	cVariable	busybox/networking/	
decl;::lastpkt_refid;;	cVariable	busybox/networking/	
decl;::lastpkt_rootdelay;;	cVariable	busybox/networking/	
decl;::lastpkt_rootdisp;;	cVariable	busybox/networking/	
decl;::lastpkt_status;;	cVariable	busybox/networking/	
decl;::lastpkt_stratum;;	cVariable	busybox/networking/	
decl;::lba_end;;	cVariable	busybox/util-linux/	
decl;::lba_start;;	cVariable	busybox/util-linux/	
decl;::len;;	cVariable	busybox/archival/	
decl;::links_char;;	cVariable	busybox/findutils/	
decl;::links_count;;	cVariable	busybox/findutils/	
decl;::look;;	cVariable	busybox/archival/	
decl;::m_digest;;	cVariable	busybox/networking/	
decl;::m_keyid;;	cVariable	busybox/networking/	
decl;::m_len;;	cVariable	busybox/archival/	
decl;::m_off;;	cVariable	busybox/archival/	
decl;::m_orgtime;;	cVariable	busybox/networking/	
decl;::m_ppoll;;	cVariable	busybox/networking/	
decl;::m_precision_exp;;	cVariable	busybox/networking/	
decl;::m_rectime;;	cVariable	busybox/networking/	
decl;::m_refid;;	cVariable	busybox/networking/	
decl;::m_reftime;;	cVariable	busybox/networking/	
decl;::m_rootdelay;;	cVariable	busybox/networking/	
decl;::m_rootdisp;;	cVariable	busybox/networking/	
decl;::m_status;;	cVariable	busybox/networking/	
decl;::m_stratum;;	cVariable	busybox/networking/	
decl;::m_xmttime;;	cVariable	busybox/networking/	
decl;::magic;;	cVariable	busybox/util-linux/	
decl;::mainSort__copyEnd;;	cVariable	busybox/archival/	
decl;::mainSort__copyStart;;	cVariable	busybox/archival/	
decl;::mainSort__runningOrder;;	cVariable	busybox/archival/	
decl;::mask;;	cVariable	busybox/networking/	
decl;::metric;;	cVariable	busybox/networking/	
decl;::mmin_char;;	cVariable	busybox/findutils/	
decl;::mmin_mins;;	cVariable	busybox/findutils/	
decl;::mode;;	cVariable	busybox/include/	
decl;::mtfFreq;;	cVariable	busybox/archival/	
decl;::mtfv;;	cVariable	busybox/archival/	
decl;::mtime_char;;	cVariable	busybox/findutils/	
decl;::mtime_days;;	cVariable	busybox/findutils/	
decl;::nInUse;;	cVariable	busybox/archival/	
decl;::nMTF;;	cVariable	busybox/archival/	
decl;::n_parts;;	cVariable	busybox/util-linux/	
decl;::name36;;	cVariable	busybox/util-linux/	
decl;::name6;;	cVariable	busybox/procps/	
decl;::name;;	cVariable	busybox/coreutils/	
decl;::nblock;;	cVariable	busybox/archival/	
decl;::nblockMAX;;	cVariable	busybox/archival/	
decl;::newer_mtime;;	cVariable	busybox/findutils/	
decl;::next_action_time;;	cVariable	busybox/networking/	
decl;::next_in;;	cVariable	busybox/archival/	
decl;::next_out;;	cVariable	busybox/archival/	
decl;::numZ;;	cVariable	busybox/archival/	
decl;::offset;;	cVariable	busybox/archival/	
decl;::opt_char;;	cVariable	busybox/libbb/	
decl;::opt_rd;;	cVariable	busybox/networking/	
decl;::optarg;;	cVariable	busybox/libbb/	
decl;::optimized;;	cVariable	busybox/networking/	
decl;::origPtr;;	cVariable	busybox/archival/	
decl;::os;;	cVariable	busybox/coreutils/	
decl;::out;;	cVariable	busybox/archival/	
decl;::p;;	cVariable	busybox/networking/	
decl;::p_dotted;;	cVariable	busybox/networking/	
decl;::p_fd;;	cVariable	busybox/networking/	
decl;::p_hostname;;	cVariable	busybox/networking/	
decl;::p_lsa;;	cVariable	busybox/networking/	
decl;::p_raw_delay;;	cVariable	busybox/networking/	
decl;::p_xmt_msg;;	cVariable	busybox/networking/	
decl;::p_xmttime;;	cVariable	busybox/networking/	
decl;::param_type;;	cVariable	busybox/libbb/	
decl;::part_array_crc32;;	cVariable	busybox/util-linux/	
decl;::part_entry_len;;	cVariable	busybox/util-linux/	
decl;::part_guid;;	cVariable	busybox/util-linux/	
decl;::partitions;;	cVariable	busybox/util-linux/	
decl;::pattern;;	cVariable	busybox/findutils/	
decl;::perm_char;;	cVariable	busybox/findutils/	
decl;::perm_mask;;	cVariable	busybox/findutils/	
decl;::physical_volume_id;;	cVariable	busybox/util-linux/	
decl;::platform;;	cVariable	busybox/coreutils/	
decl;::policy;;	cVariable	busybox/util-linux/	
decl;::pos;;	cVariable	busybox/archival/	
decl;::prev;;	cVariable	busybox/procps/	
decl;::processor;;	cVariable	busybox/coreutils/	
decl;::ps_flags;;	cVariable	busybox/procps/	
decl;::ptr;;	cVariable	busybox/archival/	
decl;::q;;	cVariable	busybox/networking/	
decl;::qP;;	cVariable	busybox/networking/	
decl;::r1_lit;;	cVariable	busybox/archival/	
decl;::range;;	cVariable	busybox/archival/	
decl;::raw;;	cVariable	busybox/archival/	
decl;::rd_ops;;	cVariable	busybox/procps/	
decl;::rd_sectors;;	cVariable	busybox/procps/	
decl;::reachable_bits;;	cVariable	busybox/networking/	
decl;::remoteAddr;;	cVariable	busybox/sysklogd/	
decl;::remoteFD;;	cVariable	busybox/sysklogd/	
decl;::remoteHostname;;	cVariable	busybox/sysklogd/	
decl;::requires;;	cVariable	busybox/libbb/	
decl;::reserved;;	cVariable	busybox/util-linux/	
decl;::revision;;	cVariable	busybox/util-linux/	
decl;::ru;;	cVariable	busybox/miscutils/	
decl;::sa;;	cVariable	busybox/include/	
decl;::scsi_string;;	cVariable	busybox/util-linux/	
decl;::second_val;;	cVariable	busybox/shell/	
decl;::second_val_present;;	cVariable	busybox/shell/	
decl;::selector;;	cVariable	busybox/archival/	
decl;::selectorMtf;;	cVariable	busybox/archival/	
decl;::sendMTFValues__code;;	cVariable	busybox/archival/	
decl;::sendMTFValues__len_pack;;	cVariable	busybox/archival/	
decl;::sendMTFValues__rfreq;;	cVariable	busybox/archival/	
decl;::serial;;	cVariable	busybox/util-linux/	
decl;::sgi_partinfo::id;;	cVariable	busybox/util-linux/	
decl;::sgi_partinfo::num_sectors;;	cVariable	busybox/util-linux/	
decl;::sgi_partinfo::start_sector;;	cVariable	busybox/util-linux/	
decl;::shm_rss;;	cVariable	busybox/util-linux/	
decl;::shm_swp;;	cVariable	busybox/util-linux/	
decl;::shm_tot;;	cVariable	busybox/util-linux/	
decl;::sign;;	cVariable	busybox/networking/	
decl;::sin6;;	cVariable	busybox/include/	
decl;::sin;;	cVariable	busybox/include/	
decl;::size;;	cVariable	busybox/networking/	
decl;::size_char;;	cVariable	busybox/findutils/	
decl;::state;;	cVariable	busybox/archival/	
decl;::state_in_ch;;	cVariable	busybox/archival/	
decl;::state_in_len;;	cVariable	busybox/archival/	
decl;::state_out_pos;;	cVariable	busybox/archival/	
decl;::str;;	cVariable	busybox/procps/	
decl;::strm;;	cVariable	busybox/archival/	
decl;::subexpr;;	cVariable	busybox/findutils/	
decl;::subst_count;;	cVariable	busybox/findutils/	
decl;::superblock_buffer;;	cVariable	busybox/util-linux/	
decl;::swap_attempts;;	cVariable	busybox/util-linux/	
decl;::swap_part;;	cVariable	busybox/util-linux/	
decl;::swap_successes;;	cVariable	busybox/util-linux/	
decl;::switch_off;;	cVariable	busybox/libbb/	
decl;::switch_on;;	cVariable	busybox/libbb/	
decl;::tag;;	cVariable	busybox/archival/	
decl;::total_out;;	cVariable	busybox/archival/	
decl;::tp_len;;	cVariable	busybox/networking/	
decl;::tp_mac;;	cVariable	busybox/networking/	
decl;::tp_net;;	cVariable	busybox/networking/	
decl;::tp_padding;;	cVariable	busybox/networking/	
decl;::tp_snaplen;;	cVariable	busybox/networking/	
decl;::tp_status;;	cVariable	busybox/networking/	
decl;::tp_vlan_tci;;	cVariable	busybox/networking/	
decl;::type;;	cVariable	busybox/archival/	
decl;::type_guid;;	cVariable	busybox/util-linux/	
decl;::type_mask;;	cVariable	busybox/findutils/	
decl;::uid;;	cVariable	busybox/findutils/	
