id:ID	:LABEL	comp	condition
decl;::::G;;	cVariable	toybox/toys/posix/	
decl;::::L;;	cVariable	toybox/toys/posix/	
decl;::::O;;	cVariable	toybox/toys/posix/	
decl;::::P;;	cVariable	toybox/toys/posix/	
decl;::::U;;	cVariable	toybox/toys/posix/	
decl;::::also_string;;	cVariable	toybox/toys/example/	
decl;::::b_number;;	cVariable	toybox/toys/example/	
decl;::::b_string;;	cVariable	toybox/toys/example/	
decl;::::blubber_string;;	cVariable	toybox/toys/example/	
decl;::::c_number;;	cVariable	toybox/toys/example/	
decl;::::d;;	cVariable	toybox/toys/posix/	
decl;::::d_list;;	cVariable	toybox/toys/example/	
decl;::::e_count;;	cVariable	toybox/toys/example/	
decl;::::g;;	cVariable	toybox/toys/posix/	
decl;::::group;;	cVariable	toybox/toys/posix/	
decl;::::k;;	cVariable	toybox/toys/posix/	
decl;::::match;;	cVariable	toybox/toys/posix/	
decl;::::mode;;	cVariable	toybox/toys/posix/	
decl;::::n;;	cVariable	toybox/toys/posix/	
decl;::::o;;	cVariable	toybox/toys/posix/	
decl;::::p;;	cVariable	toybox/toys/posix/	
decl;::::preserve;;	cVariable	toybox/toys/posix/	
decl;::::regexes;;	cVariable	toybox/toys/posix/	
decl;::::s;;	cVariable	toybox/toys/posix/	
decl;::::self;;	cVariable	toybox/toys/posix/	
decl;::::signal;;	cVariable	toybox/toys/posix/	
decl;::::snapshot;;	cVariable	toybox/toys/posix/	
decl;::::t;;	cVariable	toybox/toys/posix/	
decl;::::u;;	cVariable	toybox/toys/posix/	
decl;::::user;;	cVariable	toybox/toys/posix/	
decl;::a;;	cVariable	toybox/toys/example/	
decl;::addr;;	cVariable	toybox/toys/pending/	
decl;::bp;;	cVariable	toybox/toys/pending/	
decl;::buff;;	cVariable	toybox/toys/pending/	
decl;::c;;	cVariable	toybox/toys/posix/	
decl;::count;;	cVariable	toybox/toys/pending/	
decl;::duid;;	cVariable	toybox/toys/pending/	
decl;::duid_len;;	cVariable	toybox/toys/pending/	
decl;::expires;;	cVariable	toybox/toys/pending/	
decl;::fd;;	cVariable	toybox/toys/pending/	
decl;::hostname;;	cVariable	toybox/toys/pending/	
decl;::i;;	cVariable	toybox/toys/posix/	
decl;::ia_type;;	cVariable	toybox/toys/pending/	
decl;::iaid;;	cVariable	toybox/toys/pending/	
decl;::idev;;	cVariable	toybox/toys/pending/	
decl;::ifindex;;	cVariable	toybox/toys/pending/	
decl;::label;;	cVariable	toybox/toys/pending/	
decl;::lease_mac;;	cVariable	toybox/toys/pending/	
decl;::lease_nip6;;	cVariable	toybox/toys/pending/	
decl;::lease_nip;;	cVariable	toybox/toys/pending/	
decl;::mdst;;	cVariable	toybox/toys/pending/	
decl;::msrc;;	cVariable	toybox/toys/pending/	
decl;::name;;	cVariable	toybox/toys/pending/	
decl;::odev;;	cVariable	toybox/toys/pending/	
decl;::offset;;	cVariable	toybox/toys/pending/	
decl;::pad;;	cVariable	toybox/toys/pending/	
decl;::pgrep;;	cVariable	toybox/toys/posix/	
decl;::proto;;	cVariable	toybox/toys/pending/	
decl;::ps;;	cVariable	toybox/toys/posix/	
decl;::rdst;;	cVariable	toybox/toys/pending/	
decl;::rsrc;;	cVariable	toybox/toys/pending/	
decl;::rvia;;	cVariable	toybox/toys/pending/	
decl;::s;;	cVariable	toybox/toys/example/	
decl;::scope;;	cVariable	toybox/toys/pending/	
decl;::scopemask;;	cVariable	toybox/toys/pending/	
decl;::sz;;	cVariable	toybox/toys/pending/	
decl;::tb;;	cVariable	toybox/toys/pending/	
decl;::to;;	cVariable	toybox/toys/pending/	
decl;::top;;	cVariable	toybox/toys/posix/	
decl;::up;;	cVariable	toybox/toys/pending/	
decl;;;	cEnum	toybox/toys/	
decl;ALIGN_BITS;;	cVariable	toybox/toys/pending/	
decl;ALIGN_MASK;;	cVariable	toybox/toys/pending/	
decl;ALIGN_SIZE;;	cVariable	toybox/toys/pending/	
decl;ASKFIRST;;	cVariable	toybox/toys/pending/	
decl;AT_FDCWD;;	cVariable	toybox/lib/	
decl;AT_REMOVEDIR;;	cVariable	toybox/lib/	
decl;AT_SYMLINK_NOFOLLOW;;	cVariable	toybox/lib/	
decl;BOOTP_BROADCAST;;	cVariable	toybox/toys/pending/	
decl;CFG_ACPI;;	cVariable	toybox/generated/	
decl;CFG_ARP;;	cVariable	toybox/generated/	
decl;CFG_ARPING;;	cVariable	toybox/generated/	
decl;CFG_ASCII;;	cVariable	toybox/generated/	
decl;CFG_BASE64;;	cVariable	toybox/generated/	
decl;CFG_BASENAME;;	cVariable	toybox/generated/	
decl;CFG_BLKID;;	cVariable	toybox/generated/	
decl;CFG_BLOCKDEV;;	cVariable	toybox/generated/	
decl;CFG_BOOTCHARTD;;	cVariable	toybox/generated/	
decl;CFG_BRCTL;;	cVariable	toybox/generated/	
decl;CFG_BUNZIP2;;	cVariable	toybox/generated/	
decl;CFG_BZCAT;;	cVariable	toybox/generated/	
decl;CFG_CAL;;	cVariable	toybox/generated/	
decl;CFG_CAT;;	cVariable	toybox/generated/	
decl;CFG_CATV;;	cVariable	toybox/generated/	
decl;CFG_CAT_V;;	cVariable	toybox/generated/	
decl;CFG_CD;;	cVariable	toybox/generated/	
decl;CFG_CHATTR;;	cVariable	toybox/generated/	
decl;CFG_CHCON;;	cVariable	toybox/generated/	
decl;CFG_CHGRP;;	cVariable	toybox/generated/	
decl;CFG_CHMOD;;	cVariable	toybox/generated/	
decl;CFG_CHOWN;;	cVariable	toybox/generated/	
decl;CFG_CHROOT;;	cVariable	toybox/generated/	
decl;CFG_CHRT;;	cVariable	toybox/generated/	
decl;CFG_CHVT;;	cVariable	toybox/generated/	
decl;CFG_CKSUM;;	cVariable	toybox/generated/	
decl;CFG_CLEAR;;	cVariable	toybox/generated/	
decl;CFG_CMP;;	cVariable	toybox/generated/	
decl;CFG_COMM;;	cVariable	toybox/generated/	
decl;CFG_COMPRESS;;	cVariable	toybox/generated/	
decl;CFG_COUNT;;	cVariable	toybox/generated/	
decl;CFG_CP;;	cVariable	toybox/generated/	
decl;CFG_CPIO;;	cVariable	toybox/generated/	
decl;CFG_CP_PRESERVE;;	cVariable	toybox/generated/	
decl;CFG_CROND;;	cVariable	toybox/generated/	
decl;CFG_CRONTAB;;	cVariable	toybox/generated/	
decl;CFG_CUT;;	cVariable	toybox/generated/	
decl;CFG_DATE;;	cVariable	toybox/generated/	
decl;CFG_DD;;	cVariable	toybox/generated/	
decl;CFG_DEALLOCVT;;	cVariable	toybox/generated/	
decl;CFG_DEBUG_DHCP;;	cVariable	toybox/generated/	
decl;CFG_DECOMPRESS;;	cVariable	toybox/generated/	
decl;CFG_DF;;	cVariable	toybox/generated/	
decl;CFG_DHCP6;;	cVariable	toybox/generated/	
decl;CFG_DHCP;;	cVariable	toybox/generated/	
decl;CFG_DHCPD;;	cVariable	toybox/generated/	
decl;CFG_DIFF;;	cVariable	toybox/generated/	
decl;CFG_DIRNAME;;	cVariable	toybox/generated/	
decl;CFG_DMESG;;	cVariable	toybox/generated/	
decl;CFG_DOS2UNIX;;	cVariable	toybox/generated/	
decl;CFG_DU;;	cVariable	toybox/generated/	
decl;CFG_DUMPLEASES;;	cVariable	toybox/generated/	
decl;CFG_ECHO;;	cVariable	toybox/generated/	
decl;CFG_EGREP;;	cVariable	toybox/generated/	
decl;CFG_EJECT;;	cVariable	toybox/generated/	
decl;CFG_ENV;;	cVariable	toybox/generated/	
decl;CFG_EXIT;;	cVariable	toybox/generated/	
decl;CFG_EXPAND;;	cVariable	toybox/generated/	
decl;CFG_EXPR;;	cVariable	toybox/generated/	
